code,brands,product_name,pnns_groups_2,energy-kj_100g,sugars_100g,saturated-fat_100g,salt_100g,proteins_100g,fiber_100g,fruit_vege_nut_100g,nutriscore_grade,fit_nutri_grade,opt_el_tri_50_grade,pes_el_tri_50_grade
4122102,Auchan,Funny Ghost,Appetizers,405.0,1.2,0.6,0.36,0.9,0.5,0.0,b,c,e,e
7613039079126,"Nestlé, Kitkat","KITKAT White barre au chocolat blanc, 8x41.5g",Biscuits and cakes,2154.0,48.8,14.5,0.3,8.3,0.7,0.0,e,e,e,e
4038507003398,Govinda,Mandel Magic,Sweets,1368.0,52.4,0.7,0.01,3.8,10.4,92.5,b,a,a,a
3083681062267,Bonduelle,Galettes Potiron Butternut Carottes,One-dish meals,395.0,4.3,1.3,0.7,3.4,3.0,82.1102083333333,a,a,b,b
4337185833038,K-Classic,Knusprige Salz Tortilla Chips,One-dish meals,2013.0,0.6,2.1,0.9,7.8,6.0,0.0,c,a,c,c
3250392793012,Planteur des tropiques,Chocolat,Chocolate products,210.0,4.9,1.1,0.08,1.5,1.0,0.0,b,c,e,e
3595890269011,Valda,Gomme goût menthe eucalyptus,Sweets,814.0,0.0,0.2,0.0,0.0,44.7,0.045,a,b,a,b
3256225722181,U,Tartines craquantes au blé complet,unknown,1598.0,3.1,1.1,0.75,12.0,7.4,0.0,a,a,b,c
8690624104639,Lay's,Yoğurt ve Mevsim Yeşillikli Patates Cipsi,Appetizers,2241.0,2.9,4.8,1.3,6.2,3.8,0.0,d,c,d,d
3760020508012,"JARDIN BIO ETIC,Jardin bio",Tartines craquantes Sarrasin,unknown,1532.0,1.0,0.7,0.57,11.0,4.5,0.0,a,a,c,c
7610849454631,Coop,Qualité & Prix Chocolate au lait suisse,Chocolate products,2230.0,57.0,18.0,0.275,6.0,2.0,0.0,e,e,e,e
3513851557823,Regent's Park,Crumpets nature,unknown,818.0,4.0,0.1,1.5,6.0,2.6,0.0,c,c,d,d
3700311810646,Tous les jours,Chocolat noir tablette,Chocolate products,2152.0,46.0,17.0,0.03,7.5,8.8,0.0,e,e,c,c
3513851559162,Regent's Park,4 muffins citron & pavot,Bread,962.0,9.2,0.3,0.9,9.7,4.0,2.308828125,a,b,c,c
4044889004106,Vivani,Chocolat noir 100+,Chocolate products,2741.0,0.0,40.0,0.01,8.7,0.0,0.0,d,c,d,e
3279840002155,Brioches Fonteneau,Pain au lait pur beurre,Pastries,1499.0,15.0,7.9,1.1,8.8,2.8,1.7775,d,d,c,d
7616500913806,FREY,Noir Special 72 Chocolat extra noir,Chocolate products,2450.0,27.0,28.0,0.025,8.0,11.0,0.0,d,d,c,d
3336971806868,Vico,La Gourmande 30g,Appetizers,2172.0,2.9,3.1,1.2,6.8,4.4,0.0,c,b,d,d
8480000141606,Hacendado,Crocantes chocolate,Biscuits and cakes,2111.0,41.0,14.0,0.68,5.1,4.0,0.0,e,e,d,d
