code,brands,product_name,pnns_groups_2,nutriscore_score,nutriscore_grade,energy-kj_100g,sugars_100g,saturated-fat_100g,salt_100g,proteins_100g,fiber_100g,fruits-vegetables-nuts-estimate-from-ingredients_100g,url,image_url
7501011114579,Sabritas,Cheetos torciditos,Appetizers,13.0,d,2260.0,3.33,5.0,1.35,6.67,3.33,0.0,http://world-fr.openfoodfacts.org/produit/7501011114579/cheetos-torciditos-sabritas,https://images.openfoodfacts.org/images/products/750/101/111/4579/front_es.7.400.jpg
5902172001944,Kupiec,Wafle ryżowe wieloziarniste,Cereals,0.0,b,1615.0,1.2,0.7,0.98,8.1,3.5,0.0,http://world-fr.openfoodfacts.org/produit/5902172001944/wafle-ry%C5%BCowe-wieloziarniste-kupiec,https://images.openfoodfacts.org/images/products/590/217/200/1944/front_fr.10.400.jpg
5013803001278,Eat Natural,Prosport - barre cacahuètes 🥜et caramel salé,Biscuits and cakes,-4.0,a,931.0,8.9,2.3,0.2,11.7,2.4,66.0,http://world-fr.openfoodfacts.org/produit/5013803001278/prosport-barre-cacahuetes-%F0%9F%A5%9Cet-caramel-sale-eat-natural,https://images.openfoodfacts.org/images/products/501/380/300/1278/front_fr.38.400.jpg
7616500175716,Frey,,Sweets,23.0,e,2260.0,46.0,18.0,0.09,6.0,3.0,0.0,http://world-fr.openfoodfacts.org/produit/7616500175716/frey,https://images.openfoodfacts.org/images/products/761/650/017/5716/front_fr.9.400.jpg
04122102,Auchan,Funny Ghost,Appetizers,2.0,b,405.0,1.2,0.6,0.36,0.9,0.5,0.0,http://world-fr.openfoodfacts.org/produit/04122102/funny-ghost-auchan,https://images.openfoodfacts.org/images/products/04122102/front_fr.4.400.jpg
7613039079126,"Nestlé, Kitkat","KITKAT White barre au chocolat blanc, 8x41.5g",Biscuits and cakes,27.0,e,2154.0,48.8,14.5,0.3,8.3,0.7,0.0,http://world-fr.openfoodfacts.org/produit/7613039079126/kitkat-white-barre-au-chocolat-blanc-8x41-5g-nestle,https://images.openfoodfacts.org/images/products/761/303/907/9126/front_fr.39.400.jpg
4038507003398,Govinda,Mandel Magic,Sweets,2.0,b,1368.0,52.4,0.7,0.01,3.8,10.4,92.5,http://world-fr.openfoodfacts.org/produit/4038507003398/mandel-magic-govinda,https://images.openfoodfacts.org/images/products/403/850/700/3398/front_de.7.400.jpg
3083681062267,Bonduelle,Galettes Potiron Butternut Carottes,One-dish meals,-2.0,a,395.0,4.3,1.3,0.7,3.4,3.0,82.1102083333333,http://world-fr.openfoodfacts.org/produit/3083681062267/galettes-potiron-butternut-carottes-bonduelle,https://images.openfoodfacts.org/images/products/308/368/106/2267/front_fr.54.400.jpg
4337185833038,K-Classic,Knusprige Salz Tortilla Chips,One-dish meals,6.0,c,2013.0,0.6,2.1,0.9,7.8,6.0,0.0,http://world-fr.openfoodfacts.org/produit/4337185833038/knusprige-salz-tortilla-chips-k-classic,https://images.openfoodfacts.org/images/products/433/718/583/3038/front_de.3.400.jpg
3250392793012,Planteur des tropiques,Chocolat,Chocolate products,1.0,b,210.0,4.9,1.1,0.08,1.5,1.0,0.0,http://world-fr.openfoodfacts.org/produit/3250392793012/chocolat-planteur-des-tropiques,https://images.openfoodfacts.org/images/products/325/039/279/3012/front_fr.13.400.jpg
